ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYUL,LIRF,0,B77W,18,-30.16,49.97,-90.38,45.32,-0.06,0.27,-0.45,0.38,-439.91,2125.03,-3535.78,2972.59
CYUL,LIRF,0,B789,1,-44.8,,-44.8,-44.8,-0.04,,-0.04,-0.04,-235.3,,-235.3,-235.3
CYUL,LIRF,1,A332,11,-38.85,42.06,-88.45,33.4,-0.08,0.26,-0.35,0.31,-455.46,1541.68,-2072.35,1881.8
CYUL,LIRF,1,B77W,11,-31.83,55.86,-101.75,47.35,-0.03,0.24,-0.33,0.35,-220.37,1866.89,-2598.2,2712.3
CYUL,LIRF,1,B789,1,-38.1,,-38.1,-38.1,0.2,,0.2,0.2,1100.0,,1100.0,1100.0
CYUL,LPPT,0,A21N,9,-16.93,54.72,-79.0,57.64,0.1,0.25,-0.27,0.42,248.71,632.49,-688.04,1041.68
CYUL,LPPT,0,A332,1,33.9,,33.9,33.9,0.35,,0.35,0.35,2100.0,,2100.0,2100.0
CYUL,LPPT,0,A333,6,-27.6,267.08,-191.48,371.0,0.04,0.58,-0.38,0.91,275.5,3591.95,-2333.68,5623.02
CYUL,LPPT,1,A21N,11,-5.68,55.95,-36.55,90.2,0.07,0.29,-0.42,0.38,174.23,733.92,-1039.8,960.2
CYUL,LPPT,1,A332,4,-12.9,13.6,-23.6,3.26,0.08,0.11,-0.02,0.19,450.0,632.46,-120.0,1160.0
CYUL,LPPT,1,A333,9,-15.38,25.63,-48.16,15.64,0.08,0.29,-0.32,0.42,514.74,1813.64,-1967.9,2603.5
CYUL,LPPT,2,A21N,21,-12.87,31.73,-48.0,51.4,0.11,0.24,-0.28,0.45,271.31,601.25,-710.3,1123.1
CYUL,LPPT,2,A333,7,-21.11,41.77,-63.65,33.22,0.05,0.19,-0.23,0.25,296.23,1189.52,-1412.28,1548.51
