ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LTFM,LTBS,291,9.6,23.23,-29.0,45.75,0.1,0.08,0.0,0.22,252.1,231.83,0.0,560.0
LTFM,LTCA,81,7.64,16.5,-21.2,31.3,0.12,0.07,0.03,0.22,324.72,188.13,63.2,606.6
LTFM,LTCB,112,23.59,19.27,-2.64,53.5,0.14,0.06,0.07,0.22,351.97,144.18,163.68,548.45
LTFM,LTCC,256,2.67,38.36,-17.48,18.18,0.13,0.18,-0.01,0.25,321.33,445.51,-31.22,662.5
LTFM,LTCE,79,9.83,30.1,-16.54,52.99,0.06,0.06,-0.02,0.18,160.74,167.92,-40.16,516.14
LTFM,LTCG,314,-0.65,18.58,-24.94,37.9,0.11,0.07,0.01,0.22,260.06,171.36,25.9,550.0
LTFM,LTCI,120,6.3,14.07,-10.91,22.8,0.12,0.06,0.07,0.18,318.55,175.32,186.02,466.7
LTFM,LTCK,69,20.1,12.56,-0.28,42.82,0.15,0.07,0.07,0.26,378.07,200.42,154.0,660.32
LTFM,LTCN,54,11.85,19.08,-12.72,43.57,0.21,0.06,0.13,0.3,494.98,143.45,280.49,715.12
LTFM,LTCR,84,-0.81,8.08,-12.61,9.33,0.12,0.09,0.05,0.2,287.05,216.76,108.75,466.26
LTFM,LTCS,89,-2.3,14.86,-22.46,19.22,0.11,0.08,-0.0,0.26,285.91,224.1,-0.84,686.68
LTFM,LTCV,70,-0.16,6.84,-12.21,9.6,0.0,0.04,-0.04,0.05,12.02,108.36,-99.04,131.09
LTFM,LTFE,329,-0.34,37.53,-69.32,49.6,0.09,0.12,-0.09,0.25,241.68,336.37,-250.0,669.96
LTFM,LTFG,120,0.28,16.26,-11.51,7.5,0.09,0.05,0.05,0.17,220.6,115.68,120.0,402.0
LTFM,LTFH,120,5.21,24.11,-20.21,54.8,0.08,0.09,-0.02,0.2,192.34,216.55,-40.0,480.0
LTFM,LTFO,154,5.16,22.38,-19.9,43.05,0.08,0.07,-0.01,0.22,185.87,166.63,-12.84,520.0
LTFM,LUKK,106,-26.99,15.6,-51.98,-0.25,-0.02,0.05,-0.1,0.05,-41.55,125.61,-245.82,140.0
LTFM,LWSK,60,-24.13,10.82,-41.56,-9.78,-0.07,0.04,-0.13,-0.02,-189.86,113.54,-351.03,-42.19
LTFM,LYBE,167,12.07,75.63,-21.98,66.03,0.07,0.17,-0.06,0.2,174.15,456.5,-141.57,525.0
LTFM,LYPG,70,-18.75,22.87,-57.64,12.58,0.04,0.13,-0.05,0.12,111.54,316.4,-125.33,294.84
LTFM,LYTV,54,-15.5,17.9,-41.46,15.05,0.0,0.13,-0.13,0.17,16.44,296.01,-272.75,397.11
LTFM,OBBI,83,25.19,30.28,-2.92,68.56,0.09,0.09,-0.04,0.24,238.71,241.1,-149.77,623.89
LTFM,OEDF,54,16.92,33.26,-20.14,79.56,0.02,0.08,-0.09,0.16,85.77,310.15,-230.2,506.17
LTFM,OEJN,200,25.58,20.95,-0.04,58.21,0.12,0.1,-0.03,0.28,616.08,568.57,-83.6,1683.89
LTFM,OEMA,103,25.51,14.52,5.43,52.86,0.13,0.17,-0.02,0.28,617.57,1036.0,-61.34,1766.62
LTFM,OERK,152,22.08,40.34,-13.98,99.96,0.06,0.1,-0.07,0.21,251.6,532.29,-204.75,1208.41
LTFM,OIIE,232,21.37,20.2,0.0,46.1,0.08,0.09,0.0,0.19,209.28,216.67,4.59,508.85
LTFM,OITT,50,30.09,85.24,0.0,64.42,0.15,0.34,0.0,0.5,360.45,818.52,1.02,1220.42
LTFM,OJAI,166,18.82,13.15,-3.18,41.45,0.02,0.09,-0.11,0.15,21.62,329.67,-572.4,486.05
LTFM,OKKK,201,16.42,31.72,-15.6,65.9,0.06,0.09,-0.05,0.22,279.72,441.27,-166.0,1185.2
LTFM,OLBA,215,-2.48,12.44,-21.53,15.25,0.01,0.04,-0.05,0.1,71.37,222.55,-189.5,516.63
LTFM,OMAA,83,3.45,27.85,-36.2,45.37,0.01,0.09,-0.14,0.15,69.19,293.62,-358.59,620.19
LTFM,OMDB,270,23.73,24.31,-10.4,63.32,0.13,0.11,-0.04,0.31,882.96,885.83,-191.35,2537.52
LTFM,OOMS,74,-14.15,336.16,-7.35,59.44,-0.03,0.63,-0.07,0.15,-290.85,3630.26,-203.32,567.26
LTFM,ORBI,156,-18.05,29.11,-56.7,22.58,0.03,0.14,-0.15,0.33,85.84,410.58,-446.68,913.02
LTFM,ORER,112,68.02,93.39,-1.73,271.6,0.16,0.22,-0.05,0.63,444.77,595.01,-133.41,1701.44
LTFM,OTHH,136,43.7,31.59,9.52,100.95,0.14,0.11,0.0,0.31,869.26,845.18,22.25,2384.43
LTFM,RKSI,96,-6.99,10.2,-26.72,6.15,-0.02,0.05,-0.09,0.07,-187.53,401.82,-740.42,464.75
LTFM,UAAA,218,-5.45,10.26,-25.12,8.87,-0.04,0.05,-0.11,0.06,-197.21,284.68,-635.63,166.3
LTFM,UACC,104,-8.22,13.95,-28.72,10.54,0.07,0.08,-0.04,0.25,191.65,256.35,-121.76,677.99
LTFM,UBBB,196,5.17,32.68,-43.7,56.6,0.03,0.11,-0.14,0.2,43.0,394.69,-694.38,611.28
LTFM,UCFM,110,1.18,13.73,-15.36,24.26,-0.02,0.08,-0.13,0.12,-32.86,322.83,-390.55,520.0
LTFM,UGTB,125,-8.08,13.7,-31.46,7.86,0.02,0.06,-0.06,0.08,63.57,266.74,-300.0,300.0
LTFM,ULLI,120,-14.01,42.59,-106.94,29.38,0.01,0.16,-0.31,0.18,40.2,411.95,-747.37,510.52
LTFM,URMM,77,9.48,21.24,-6.82,45.4,0.05,0.08,-0.04,0.16,114.4,179.1,-84.36,368.0
LTFM,URSS,122,-4.72,14.14,-17.6,0.0,-0.01,0.04,-0.06,0.05,-13.59,88.89,-139.62,121.48
LTFM,UTAA,80,-3.6,12.21,-20.02,12.47,0.11,0.1,-0.02,0.22,265.73,239.96,-43.46,520.0
LTFM,UTSS,53,-0.19,17.46,-26.08,31.16,0.0,0.07,-0.09,0.09,2.88,171.67,-242.28,229.92
LTFM,UTTT,167,-13.47,21.57,-53.94,10.74,-0.02,0.08,-0.12,0.11,-118.58,455.01,-745.18,436.98
