ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LEMG,LEMD,1,53,-35.28,118.42,-50.66,7.48,-0.0,0.26,-0.12,0.21,2.49,562.91,-283.46,504.68
LEMG,LEPA,0,61,-7.08,10.31,-26.2,5.3,0.01,0.05,-0.06,0.09,28.25,115.68,-152.0,220.1
LEMG,LEPA,1,26,-8.03,26.88,-52.22,46.75,0.01,0.09,-0.13,0.14,13.92,226.84,-332.5,333.82
LEMG,LEPA,2,19,-16.21,17.77,-42.34,-2.16,-0.07,0.06,-0.16,-0.01,-172.74,138.91,-392.16,-19.0
LEMG,LEST,0,32,-4.43,16.37,-30.96,18.0,-0.02,0.05,-0.1,0.05,-42.74,126.56,-249.99,130.19
LEMG,LEST,1,24,-31.35,93.83,-39.02,19.32,-0.09,0.17,-0.15,0.01,-209.1,415.22,-382.43,29.78
LEMG,LEVC,0,41,-10.82,10.78,-25.9,4.3,-0.02,0.05,-0.09,0.05,-25.4,59.96,-96.0,86.0
LEMG,LEVC,1,25,-7.0,8.7,-20.26,5.72,-0.1,0.06,-0.21,-0.02,-179.92,125.96,-418.26,-28.2
LEMG,LFPG,0,56,-21.99,16.8,-37.22,12.45,-0.04,0.09,-0.16,0.1,-92.06,214.19,-384.9,232.28
LEMG,LFPG,1,45,-26.72,17.56,-59.58,-0.84,-0.01,0.08,-0.16,0.15,-13.37,200.51,-367.64,332.84
LEMG,LFPO,0,136,-8.58,16.59,-39.9,18.32,-0.04,0.07,-0.17,0.08,-100.84,165.79,-386.38,187.5
LEMG,LIMC,0,51,-62.82,14.32,-83.05,-40.85,-0.25,0.07,-0.36,-0.13,-600.32,177.16,-837.85,-304.4
LEMG,LIMC,1,36,-56.76,17.24,-72.12,-24.25,-0.25,0.07,-0.37,-0.14,-601.58,184.71,-917.53,-330.0
LEMG,LIRF,0,82,-30.04,17.79,-51.86,-2.4,-0.11,0.06,-0.22,-0.03,-270.32,139.41,-519.0,-56.6
LEMG,LIRF,1,15,-22.51,25.81,-63.84,5.42,-0.07,0.08,-0.18,0.03,-174.63,190.41,-452.49,75.0
LEMG,LOWW,0,75,8.48,15.47,-19.66,36.08,0.04,0.06,-0.05,0.14,106.62,139.01,-125.0,345.88
LEMG,LPPT,0,63,-31.93,28.27,-88.59,-6.96,-0.06,0.1,-0.22,0.07,-124.71,202.78,-472.94,146.7
LEMG,LPPT,1,27,-9.26,31.05,-79.21,35.99,-0.01,0.11,-0.18,0.11,-12.17,234.96,-392.36,249.36
LEMG,LSGG,0,65,-12.28,9.77,-29.14,1.84,0.0,0.08,-0.14,0.11,12.96,175.34,-284.58,247.4
LEMG,LSZH,0,57,-9.53,15.58,-26.6,14.1,-0.07,0.08,-0.17,0.08,-177.25,196.14,-445.52,188.78
LEMG,LSZH,1,24,-12.53,9.89,-25.44,2.22,-0.07,0.08,-0.17,0.1,-169.13,190.63,-412.8,218.64
LEMG,LSZH,2,28,-14.54,19.61,-49.35,14.89,-0.09,0.07,-0.2,0.03,-212.8,171.63,-488.3,60.35
LEMG,LTFM,0,60,-17.94,30.04,-50.86,29.64,-0.03,0.09,-0.15,0.12,-73.56,229.04,-377.08,327.03
LEMH,EGCC,0,65,11.53,11.23,-10.6,28.74,-0.0,0.08,-0.11,0.11,-10.24,243.61,-337.18,424.24
LEMH,EGKK,0,107,7.82,13.53,-6.83,26.62,0.13,0.14,-0.03,0.34,297.99,312.32,-84.55,854.9
LEMH,EGKK,1,23,1.34,18.42,-15.16,24.83,0.13,0.12,0.01,0.37,285.35,269.84,20.09,807.79
LEMH,LEBB,0,63,-15.61,24.26,-64.64,14.55,-0.0,0.09,-0.15,0.15,-6.22,228.01,-374.81,357.76
LEMH,LEBL,0,314,0.8,15.4,-8.6,17.52,-0.02,0.08,-0.11,0.08,-58.63,201.72,-267.73,204.43
LEMH,LEMD,0,122,-4.17,14.49,-22.98,27.63,0.02,0.07,-0.07,0.15,53.14,181.21,-166.7,357.56
LEMH,LEMD,1,20,-10.06,9.15,-27.22,2.4,0.01,0.07,-0.07,0.1,18.8,182.21,-181.36,261.16
LEMH,LEPA,0,303,-3.62,9.9,-13.87,15.73,0.0,0.05,-0.07,0.09,-0.63,89.35,-123.34,151.91
LEMH,LEVC,0,36,17.77,13.51,-9.93,33.82,-0.03,0.09,-0.16,0.11,-43.02,205.61,-317.1,260.3
LEMH,LEVC,1,23,-3.76,12.78,-20.17,19.55,-0.02,0.09,-0.18,0.07,-39.43,186.86,-361.13,158.77
LEMH,LEVC,2,25,4.34,14.41,-21.12,24.66,-0.02,0.05,-0.09,0.05,-50.47,111.72,-202.62,121.24
LEMI,EGKK,0,58,12.24,29.82,-13.93,40.15,0.13,0.19,-0.08,0.5,304.96,425.85,-174.16,1104.35
LEPA,EBBR,0,23,4.6,12.88,-11.6,19.23,-0.06,0.05,-0.11,0.02,-133.57,112.9,-263.23,45.71
LEPA,EBBR,1,38,11.48,15.4,-9.2,24.71,0.01,0.12,-0.14,0.13,10.41,278.98,-305.56,322.0
LEPA,EDDB,0,45,6.63,14.64,-18.44,27.4,0.01,0.07,-0.11,0.1,9.38,167.63,-258.56,255.12
LEPA,EDDB,1,90,-12.63,16.02,-37.38,15.91,-0.02,0.07,-0.14,0.1,-51.94,176.88,-345.58,236.04
LEPA,EDDB,2,93,3.08,13.28,-15.16,24.28,0.01,0.07,-0.08,0.1,32.51,160.26,-195.38,220.66
LEPA,EDDB,3,21,6.66,8.13,-8.0,16.1,-0.0,0.07,-0.12,0.09,-5.1,170.93,-306.9,211.8
LEPA,EDDC,0,40,1.87,19.06,-25.81,22.72,0.04,0.07,-0.06,0.15,100.74,175.64,-147.22,367.15
LEPA,EDDC,1,15,-2.69,15.79,-24.69,16.92,0.01,0.07,-0.07,0.14,31.65,173.21,-170.75,326.77
LEPA,EDDF,0,143,-48.05,21.0,-77.07,-11.57,-0.16,0.08,-0.29,-0.02,-405.12,219.46,-759.89,-55.98
LEPA,EDDF,1,63,-43.71,22.3,-83.14,-11.38,-0.2,0.08,-0.33,-0.08,-512.27,222.07,-908.57,-182.87
LEPA,EDDF,2,16,-39.65,34.06,-86.52,4.3,-0.13,0.09,-0.29,0.0,-298.69,208.82,-648.92,7.68
LEPA,EDDF,3,19,-83.44,19.68,-115.8,-53.21,-0.28,0.09,-0.39,-0.16,-722.31,244.04,-1086.01,-409.51
LEPA,EDDG,0,42,-7.73,21.42,-66.17,17.07,-0.01,0.06,-0.13,0.07,-27.02,160.48,-319.7,177.95
LEPA,EDDG,1,57,-10.04,15.53,-30.66,13.68,0.02,0.08,-0.07,0.13,39.72,187.55,-163.2,326.22
LEPA,EDDH,0,237,-38.83,16.37,-60.2,-8.14,-0.12,0.07,-0.24,-0.01,-315.97,186.69,-599.12,-22.22
