ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LKPR,EDDL,1,38,-14.67,23.09,-39.36,13.49,0.02,0.1,-0.1,0.2,44.39,243.73,-254.61,453.94
LKPR,EDDM,0,83,-18.43,14.06,-40.01,3.07,-0.13,0.06,-0.21,-0.04,-292.07,137.01,-493.45,-80.15
LKPR,EFHK,0,16,-15.9,13.0,-31.98,1.6,-0.0,0.05,-0.06,0.09,-8.12,120.7,-139.3,201.78
LKPR,EFHK,1,27,-14.63,12.86,-32.73,-0.08,0.01,0.06,-0.05,0.09,16.2,149.17,-115.6,250.37
LKPR,EFHK,2,20,-21.56,11.28,-35.02,0.44,-0.02,0.06,-0.11,0.07,-42.03,151.77,-244.58,160.13
LKPR,EFHK,3,15,-12.29,9.6,-24.52,1.46,0.03,0.04,-0.04,0.08,71.46,95.47,-82.58,190.98
LKPR,EGCC,0,35,-19.6,20.97,-48.03,15.66,0.02,0.11,-0.12,0.22,38.16,268.39,-283.69,477.29
LKPR,EGCC,1,24,-13.86,22.77,-48.22,12.26,-0.02,0.07,-0.09,0.1,-44.87,148.75,-204.4,207.16
LKPR,EGLL,0,83,-5.3,12.52,-25.75,13.87,0.17,0.11,0.01,0.37,381.44,248.77,34.28,813.14
LKPR,EGLL,1,45,-16.05,19.1,-48.18,11.9,0.16,0.12,0.0,0.37,361.55,269.42,5.38,818.4
LKPR,EGSS,0,74,-17.28,13.91,-40.99,8.47,0.05,0.06,-0.03,0.13,108.64,139.24,-79.5,310.51
LKPR,EHAM,0,187,-2.79,11.32,-22.17,13.89,0.04,0.06,-0.07,0.12,79.95,144.38,-174.47,273.54
LKPR,EKCH,0,34,-17.94,11.8,-33.09,-2.93,-0.09,0.05,-0.16,-0.02,-200.86,113.79,-327.6,-40.5
LKPR,EKCH,1,16,-20.79,7.23,-31.83,-11.62,-0.08,0.06,-0.16,0.01,-173.19,126.58,-336.25,28.25
LKPR,EKCH,2,63,-19.67,9.9,-34.17,-3.13,-0.11,0.06,-0.21,-0.05,-251.94,128.81,-478.62,-86.33
LKPR,ENGM,0,28,-18.22,13.98,-39.42,1.76,-0.03,0.06,-0.11,0.06,-66.22,133.74,-260.18,155.74
LKPR,ENGM,1,28,-12.87,13.43,-31.86,6.25,-0.04,0.06,-0.12,0.06,-87.32,149.99,-276.08,137.41
LKPR,EPWA,0,121,-47.01,14.95,-65.6,-23.1,-0.07,0.06,-0.16,0.03,-131.56,106.25,-305.0,56.0
LKPR,ESSA,0,26,-4.35,15.44,-31.85,16.6,0.05,0.07,-0.03,0.13,114.78,158.98,-79.97,311.77
LKPR,ESSA,1,16,-6.63,22.5,-51.35,21.82,0.04,0.07,-0.03,0.16,105.89,169.0,-86.8,380.62
LKPR,ESSA,2,18,-9.07,13.05,-30.76,8.24,0.04,0.06,-0.05,0.14,103.36,153.87,-125.7,330.7
LKPR,LCLK,0,20,2.45,17.39,-12.6,28.62,0.05,0.07,-0.04,0.14,119.33,174.07,-86.0,336.0
LKPR,LCLK,1,19,-2.75,10.93,-19.24,13.46,0.04,0.08,-0.04,0.16,98.91,186.48,-100.0,402.78
LKPR,LCLK,2,17,7.0,15.38,-14.94,23.14,0.05,0.08,-0.04,0.14,117.16,190.64,-104.0,350.06
LKPR,LEBL,0,91,-15.62,28.11,-48.9,21.6,-0.02,0.1,-0.14,0.11,-43.55,246.15,-345.65,266.1
LKPR,LEMD,0,28,-16.74,16.46,-45.06,4.24,-0.03,0.07,-0.13,0.07,-69.89,159.4,-323.96,157.5
LKPR,LEMD,1,28,-9.57,16.79,-32.58,16.89,-0.03,0.1,-0.17,0.1,-65.67,255.56,-436.59,246.5
LKPR,LEPA,0,50,-20.88,16.27,-42.94,1.37,-0.01,0.1,-0.15,0.15,-34.39,230.33,-353.24,369.21
LKPR,LFPG,0,84,-2.29,13.79,-23.17,25.23,0.04,0.08,-0.08,0.16,90.12,178.29,-172.87,378.1
LKPR,LFPG,1,83,-15.25,11.26,-34.1,-3.4,0.02,0.06,-0.1,0.13,46.44,154.58,-225.95,278.59
LKPR,LGIR,0,27,-3.29,9.15,-15.16,11.58,-0.01,0.04,-0.07,0.07,-22.52,105.5,-159.8,179.89
LKPR,LGIR,1,23,-7.56,5.43,-17.35,-0.53,-0.03,0.05,-0.12,0.04,-74.98,117.38,-249.44,89.44
LKPR,LGRP,0,34,8.35,9.19,-2.8,24.77,-0.02,0.06,-0.09,0.09,-55.7,139.04,-213.4,208.34
LKPR,LGRP,1,26,4.11,10.3,-10.75,22.2,0.0,0.05,-0.07,0.07,10.26,113.24,-187.3,162.62
LKPR,LHBP,0,53,-21.69,13.88,-38.5,1.2,-0.01,0.06,-0.11,0.07,-41.47,227.98,-265.46,272.68
LKPR,LIMC,0,62,-55.02,22.33,-91.85,-7.89,-0.22,0.11,-0.37,-0.07,-541.89,280.96,-915.0,-166.6
LKPR,LIMC,1,18,-52.88,23.5,-82.6,-16.87,-0.21,0.18,-0.36,0.03,-464.62,429.75,-802.83,76.95
LKPR,LIMC,2,22,-47.04,21.77,-67.37,-12.24,-0.15,0.07,-0.24,-0.03,-367.1,174.47,-558.14,-86.15
LKPR,LIRF,0,51,-43.3,13.84,-65.1,-23.65,-0.14,0.07,-0.25,-0.01,-342.83,169.36,-625.0,-35.35
LKPR,LIRF,1,65,-51.04,21.31,-88.0,-15.6,-0.14,0.08,-0.29,-0.02,-344.68,200.11,-706.28,-40.34
LKPR,LLBG,0,25,-13.45,15.96,-35.92,7.56,-0.04,0.07,-0.13,0.05,-108.65,168.09,-301.04,116.68
LKPR,LLBG,1,22,-8.6,7.16,-17.78,0.94,-0.09,0.05,-0.17,-0.02,-219.05,123.27,-433.4,-42.34
LKPR,LLBG,2,19,-5.82,15.01,-23.95,19.67,-0.0,0.07,-0.09,0.11,-1.87,163.65,-233.6,266.66
LKPR,LOWW,0,90,8.38,16.22,-9.1,35.51,0.07,0.07,-0.01,0.2,134.19,131.95,-16.5,363.0
LKPR,LSZH,0,90,-31.47,12.34,-48.51,-14.3,-0.05,0.09,-0.17,0.11,-112.81,215.58,-417.62,222.98
LKPR,LTAI,0,30,-7.24,13.27,-29.74,12.08,0.04,0.09,-0.08,0.18,101.55,206.55,-175.0,463.38
LKPR,LTAI,1,54,-0.79,21.11,-22.2,32.84,0.04,0.09,-0.07,0.19,84.78,211.83,-169.54,464.19
LKPR,LTFM,0,91,-17.92,17.94,-38.4,7.4,-0.01,0.07,-0.11,0.12,-30.36,247.49,-416.65,326.7
LKPR,OMDB,0,68,20.7,21.5,-7.31,55.6,0.19,0.13,0.03,0.41,1123.1,1123.42,59.28,3170.95
LKPR,OTHH,0,31,49.76,61.72,-2.45,202.0,0.12,0.1,-0.02,0.28,309.8,251.43,-40.95,695.8
LKPR,OTHH,1,17,35.19,34.33,7.78,110.12,0.12,0.06,0.03,0.2,564.85,541.88,73.08,1513.66
LLBG,EBBR,0,8,2.94,10.15,-8.67,17.81,-0.16,0.07,-0.25,-0.08,-408.59,165.78,-633.04,-210.49
LLBG,EBBR,1,44,4.25,13.91,-8.06,27.11,-0.15,0.12,-0.32,0.06,-370.32,307.29,-791.68,144.18
LLBG,EDDB,0,46,2.26,20.11,-20.98,23.55,0.03,0.16,-0.12,0.13,66.61,386.67,-302.85,283.15
LLBG,EDDB,1,31,5.45,9.2,-6.35,20.5,0.04,0.1,-0.07,0.2,92.19,237.15,-174.05,470.65
LLBG,EDDF,0,37,-26.68,19.99,-56.4,2.42,-0.15,0.11,-0.35,0.01,-373.01,268.65,-863.38,35.44
LLBG,EDDF,1,78,-13.45,27.75,-47.6,9.15,-0.12,0.22,-0.32,-0.01,-302.43,581.26,-788.71,-27.62
LLBG,EDDM,0,33,13.36,24.25,-10.02,48.34,-0.07,0.1,-0.26,0.06,-172.84,247.8,-646.84,152.22
LLBG,EDDM,1,53,11.9,18.25,-3.28,27.34,-0.05,0.12,-0.18,0.06,-118.34,307.1,-452.62,150.46
LLBG,EGGW,0,27,-17.36,14.67,-39.67,5.58,-0.01,0.08,-0.15,0.1,-21.08,201.24,-366.19,247.3
LLBG,EGGW,1,80,-15.36,18.7,-41.4,7.81,-0.0,0.21,-0.19,0.12,-5.86,493.15,-463.6,286.05
LLBG,EGLL,0,77,5.44,14.93,-11.38,30.82,0.16,0.14,-0.02,0.37,909.96,793.18,-130.88,2022.86
LLBG,EGLL,1,34,8.68,13.05,-7.54,25.62,0.18,0.14,-0.02,0.41,1111.03,846.54,-102.61,2455.4
LLBG,EGLL,2,41,16.51,32.28,-6.2,41.0,0.23,0.15,-0.03,0.41,1314.06,835.44,-199.8,2267.3
LLBG,EHAM,0,32,18.81,21.62,-2.69,44.99,0.11,0.22,-0.06,0.23,305.65,530.45,-141.62,800.76
LLBG,EHAM,1,32,9.65,9.3,-1.23,29.64,0.07,0.06,-0.02,0.16,385.45,396.8,-118.07,1040.23
LLBG,EHAM,2,15,38.14,133.7,-5.73,173.76,0.22,0.61,-0.01,0.87,641.63,1448.58,-30.37,2530.73
LLBG,EHAM,3,19,15.75,26.19,-1.78,32.17,0.1,0.13,0.01,0.21,310.69,366.16,32.17,964.75
LLBG,EHAM,4,26,13.07,10.01,2.48,29.55,0.04,0.09,-0.12,0.18,148.27,321.37,-274.42,554.38
LLBG,EPWA,0,78,-29.38,23.31,-55.56,2.88,-0.01,0.11,-0.11,0.1,-18.51,270.43,-256.42,214.57
LLBG,EPWA,1,21,-21.78,22.11,-49.3,11.3,-0.04,0.09,-0.14,0.11,-96.97,239.42,-396.7,221.1
LLBG,HAAB,0,57,-17.95,13.06,-41.14,0.0,-0.05,0.06,-0.14,0.04,-148.61,218.99,-580.94,76.86
LLBG,KEWR,0,38,3.51,34.11,-19.86,18.04,0.11,0.45,-0.1,0.18,694.11,2905.82,-643.19,1111.26
LLBG,KEWR,1,34,0.65,7.36,-10.47,12.79,0.16,0.14,0.0,0.29,967.36,763.3,19.47,1734.13
LLBG,KEWR,2,27,-12.21,10.11,-26.27,4.69,0.21,0.1,0.06,0.38,1260.89,617.73,381.78,2356.59
LLBG,KJFK,0,16,2.04,12.99,-12.82,24.12,0.14,0.11,-0.02,0.29,821.8,654.67,-114.92,1718.3
LLBG,KJFK,1,22,-0.25,11.52,-20.68,15.79,0.04,0.13,-0.11,0.21,215.63,817.45,-622.08,1136.64
LLBG,KJFK,2,32,0.21,8.32,-12.42,15.76,0.09,0.1,-0.02,0.26,517.16,585.6,-120.72,1509.68
LLBG,KJFK,3,20,-13.04,9.71,-26.01,4.77,0.15,0.11,0.03,0.3,867.94,681.85,144.87,1957.33
LLBG,KJFK,4,17,-3.05,6.67,-13.92,3.58,0.11,0.14,-0.05,0.28,655.35,836.74,-257.94,1838.46
LLBG,LBSF,0,18,-51.37,26.99,-77.53,-3.48,-0.09,0.08,-0.19,0.02,-231.9,196.04,-463.56,51.26
LLBG,LBSF,1,57,-16.64,86.48,-53.3,1.42,-0.04,0.06,-0.13,0.04,-90.09,166.23,-319.6,110.96
LLBG,LCLK,0,186,-8.19,13.66,-21.05,3.78,0.06,0.11,-0.02,0.13,151.12,284.67,-41.7,330.35
LLBG,LCLK,1,67,-7.21,15.5,-18.87,5.41,0.07,0.1,-0.02,0.16,178.43,239.85,-36.6,404.12
LLBG,LCPH,0,75,-10.59,11.9,-26.23,9.28,0.01,0.06,-0.07,0.1,15.78,135.77,-168.78,252.98
LLBG,LCPH,1,23,-14.13,15.39,-29.1,5.79,0.0,0.07,-0.05,0.04,12.63,171.91,-103.28,93.5
LLBG,LCPH,2,22,-9.18,12.3,-24.44,11.88,-0.02,0.07,-0.12,0.09,-39.2,160.25,-252.64,223.66
LLBG,LEBL,0,101,0.29,15.24,-33.7,25.3,0.13,0.17,-0.1,0.41,374.78,553.43,-253.3,1164.2
LLBG,LEMD,0,99,1.18,16.81,-29.9,28.19,0.02,0.09,-0.1,0.15,73.98,273.88,-276.66,476.73
LLBG,LEMD,1,20,-2.95,24.24,-34.88,29.53,0.01,0.08,-0.15,0.12,20.82,201.74,-375.75,306.98
LLBG,LFPG,0,43,2.45,14.61,-22.66,28.17,0.05,0.1,-0.12,0.16,269.7,491.71,-324.45,776.25
LLBG,LFPG,1,20,0.33,17.17,-33.61,21.81,0.07,0.09,-0.07,0.18,434.58,454.77,-178.96,1039.98
LLBG,LFPG,2,32,0.14,11.28,-19.76,20.29,0.07,0.1,-0.05,0.23,316.96,436.64,-203.02,1160.22
LLBG,LFPG,3,72,-6.22,16.65,-32.11,17.44,0.05,0.13,-0.07,0.16,285.82,707.52,-268.25,901.31
LLBG,LFPO,0,19,5.2,18.42,-15.7,21.21,0.15,0.28,-0.01,0.31,354.31,672.05,-15.03,745.57
LLBG,LFPO,1,22,1.6,13.2,-18.23,18.01,0.07,0.05,-0.01,0.13,161.24,124.56,-23.7,322.87
LLBG,LFPO,2,35,5.29,11.06,-12.39,23.33,0.07,0.1,-0.12,0.18,173.91,237.72,-290.08,441.52
LLBG,LGAV,0,226,17.48,18.37,4.08,46.25,0.1,0.08,0.0,0.22,267.29,256.16,9.4,707.8
LLBG,LGIR,0,142,3.48,15.99,-3.18,20.17,0.04,0.08,-0.04,0.14,107.07,180.3,-91.56,324.93
LLBG,LGRP,0,43,-10.79,27.05,-47.74,30.44,-0.02,0.07,-0.14,0.08,-31.94,187.75,-332.77,276.53
LLBG,LGRP,1,57,-0.73,6.41,-7.1,9.28,0.02,0.05,-0.04,0.11,52.72,125.03,-94.96,277.52
LLBG,LGRP,2,25,13.35,23.81,-20.82,39.36,0.04,0.09,-0.07,0.19,104.4,226.29,-164.26,461.86
LLBG,LGTS,0,43,-9.98,39.75,-37.79,11.54,-0.02,0.1,-0.14,0.07,-54.53,255.21,-334.12,174.44
LLBG,LGTS,1,22,-9.23,28.5,-55.61,30.41,-0.01,0.11,-0.18,0.18,-30.71,263.16,-427.02,433.9
LLBG,LHBP,0,34,-20.69,19.28,-47.84,-0.61,0.02,0.07,-0.09,0.12,54.76,172.76,-209.04,300.79
LLBG,LHBP,1,34,-30.29,14.86,-47.61,-6.16,-0.05,0.06,-0.13,0.05,-111.72,157.28,-319.35,129.5
LLBG,LHBP,2,27,-23.84,22.49,-47.39,21.26,-0.02,0.06,-0.09,0.09,-55.09,146.53,-224.79,210.4
LLBG,LHBP,3,23,-25.31,48.86,-53.59,14.0,0.0,0.17,-0.12,0.06,-5.88,367.13,-295.65,142.6
LLBG,LIMC,0,36,-43.28,24.4,-68.32,7.32,-0.18,0.13,-0.35,0.04,-464.81,448.8,-913.75,91.78
LLBG,LIMC,1,38,-42.65,21.11,-64.66,-11.96,-0.19,0.08,-0.32,-0.06,-481.67,206.68,-815.74,-154.11
LLBG,LIMC,2,30,-50.95,20.14,-74.24,-10.6,-0.21,0.07,-0.29,-0.1,-585.28,274.13,-1101.85,-255.72
LLBG,LIRF,0,187,-30.91,24.61,-57.88,1.31,-0.05,0.09,-0.17,0.1,-133.62,245.78,-427.34,244.36
LLBG,LKPR,0,17,-19.73,10.74,-32.9,-4.26,-0.07,0.06,-0.17,0.0,-186.28,148.12,-424.0,8.66
LLBG,LKPR,1,30,-15.63,6.37,-22.83,-6.73,-0.05,0.07,-0.14,0.06,-118.07,173.78,-360.4,145.68
LLBG,LKPR,2,19,-16.27,7.18,-27.67,-7.37,-0.05,0.06,-0.11,0.05,-128.57,140.72,-265.41,137.5
LLBG,LLER,0,250,-14.31,12.82,-34.76,7.8,-0.0,0.1,-0.08,0.07,-6.02,233.48,-180.0,129.67
LLBG,LOWW,0,51,-4.99,76.59,-16.0,36.35,-0.0,0.13,-0.1,0.13,16.7,356.59,-279.95,440.0
LLBG,LOWW,1,49,10.33,34.15,-16.12,51.88,0.03,0.22,-0.11,0.17,91.45,566.83,-286.96,536.0
LLBG,LOWW,2,55,7.23,18.67,-19.34,43.59,0.03,0.08,-0.07,0.2,93.99,288.62,-200.68,679.98
LLBG,LOWW,3,30,12.19,28.96,-12.11,53.74,0.01,0.09,-0.11,0.13,31.75,224.11,-277.44,332.86
LLBG,LPPT,0,53,-44.06,360.7,-22.94,37.02,-0.02,0.77,-0.06,0.24,-351.15,4080.72,-144.68,618.2
LLBG,LROP,0,136,-23.52,18.66,-48.58,11.18,-0.06,0.06,-0.15,0.05,-141.47,150.26,-375.0,125.0
LLBG,LSZH,0,58,15.58,16.57,-2.86,36.35,0.04,0.16,-0.14,0.18,98.1,385.46,-315.09,463.09
LLBG,LSZH,1,28,-9.12,23.11,-43.95,23.82,-0.04,0.11,-0.26,0.11,-168.97,416.73,-929.68,274.54
LLBG,LTAI,0,121,1.19,27.33,-32.1,45.3,0.1,0.13,-0.03,0.28,234.39,292.65,-80.0,651.7
LLBG,LTAI,1,61,6.8,24.1,-25.4,45.1,0.1,0.08,-0.03,0.23,228.42,204.6,-80.0,608.3
LLBG,LTFJ,0,185,-22.89,28.47,-52.68,33.78,0.01,0.15,-0.13,0.31,17.13,378.88,-333.3,733.34
LLBG,LTFJ,1,20,-21.49,16.79,-48.24,8.5,-0.07,0.09,-0.2,0.07,-168.29,222.66,-502.08,166.6
LLBG,LTFM,0,14,-18.27,18.39,-47.69,9.72,0.01,0.07,-0.08,0.1,95.01,265.38,-219.36,503.13
LLBG,LTFM,1,193,-20.95,23.33,-52.32,8.54,-0.02,0.12,-0.17,0.11,-121.23,507.89,-1040.0,469.5
LLBG,LTFM,2,90,-12.65,33.65,-45.65,19.28,-0.01,0.15,-0.17,0.19,-43.48,675.03,-690.32,877.5
LLBG,LTFM,3,16,-27.07,18.12,-51.2,2.82,-0.04,0.06,-0.14,0.06,-96.81,241.36,-393.5,343.75
LLBG,LUKK,0,55,-17.92,12.22,-32.39,2.96,-0.06,0.07,-0.16,0.05,-130.95,163.78,-369.4,120.0
LLBG,LUKK,1,3,-32.63,3.76,-35.88,-29.13,-0.09,0.03,-0.12,-0.06,-218.9,85.33,-286.53,-136.5
LLBG,OJAI,0,63,14.03,12.13,-1.53,36.22,0.17,0.08,0.07,0.28,421.45,250.38,141.7,866.83
LLBG,OMAA,0,37,23.68,13.28,1.28,42.2,0.05,0.14,-0.08,0.15,130.78,334.18,-212.24,411.94
LLBG,OMAA,1,23,26.37,8.59,15.01,41.98,0.05,0.07,-0.02,0.15,304.7,392.9,-96.02,968.03
LLBG,OMDB,0,115,12.68,21.67,-17.03,47.71,0.14,0.13,-0.05,0.39,998.96,948.13,-214.95,2720.26
LLBG,OMDB,1,115,11.56,13.85,-6.01,33.97,0.06,0.14,-0.05,0.2,128.66,288.63,-113.73,418.22
LLBG,UGTB,0,65,-24.81,19.65,-49.72,-5.66,-0.03,0.12,-0.15,0.03,-73.6,277.25,-320.84,83.4
LLBG,UGTB,1,15,-20.54,12.53,-35.71,-1.94,-0.04,0.05,-0.1,0.04,-96.49,113.25,-230.98,104.0
LLER,LLBG,0,255,-28.81,9.7,-42.56,-1.89,-0.13,0.1,-0.3,0.02,-295.85,270.48,-753.54,30.0
LMML,EDDF,0,48,-26.24,27.79,-44.62,1.36,-0.19,0.11,-0.34,-0.07,-507.92,290.72,-812.12,-165.16
LMML,EDDF,1,25,-26.44,12.14,-46.44,-10.82,-0.21,0.08,-0.31,-0.08,-542.4,200.69,-774.2,-217.18
LMML,EDDM,0,53,3.26,12.43,-11.78,22.88,-0.04,0.07,-0.15,0.06,-87.43,176.85,-334.14,139.56
LMML,EDDM,1,27,13.07,10.2,-1.68,25.74,-0.05,0.07,-0.14,0.06,-116.24,163.17,-345.85,136.53
LMML,EGCC,0,57,19.77,15.5,-2.28,46.96,0.04,0.1,-0.13,0.18,97.12,230.66,-304.38,488.78
LMML,EGCC,1,14,15.79,7.09,7.41,26.72,0.01,0.06,-0.08,0.08,21.39,135.23,-183.26,174.15
LMML,EGKK,0,132,13.51,12.77,0.12,33.69,0.13,0.12,-0.03,0.33,318.41,307.8,-72.91,815.07
LMML,EGLL,0,65,10.37,12.35,0.24,31.74,0.18,0.1,0.06,0.36,418.44,241.96,140.48,830.74
LMML,LFPO,0,28,1.16,20.95,-13.23,18.56,0.04,0.09,-0.06,0.15,100.93,233.63,-150.3,349.49
LMML,LFPO,1,35,6.2,15.33,-16.96,27.59,0.06,0.07,-0.03,0.17,142.38,156.58,-73.34,434.74
LMML,LICC,0,142,-13.95,13.92,-33.88,7.76,-0.04,0.07,-0.13,0.08,-81.15,170.06,-305.36,190.18
LMML,LIPE,0,69,-3.35,10.38,-18.34,14.24,0.01,0.1,-0.1,0.13,26.87,261.04,-302.38,317.92
LMML,LIRF,0,95,-38.79,49.78,-65.03,0.7,-0.15,0.12,-0.23,-0.02,-363.01,270.49,-575.0,-41.67
LMML,LIRN,0,35,-20.99,20.29,-45.89,3.6,-0.06,0.07,-0.16,0.04,-142.11,166.54,-382.5,105.23
LMML,LIRN,1,16,-38.73,21.04,-59.5,-4.38,-0.06,0.14,-0.22,0.17,-154.63,333.71,-527.38,402.52
LMML,LOWW,0,37,13.98,18.85,-8.58,32.68,0.08,0.06,-0.01,0.14,197.88,159.41,-33.84,354.46
LMML,LOWW,1,15,19.0,10.85,3.82,33.31,0.09,0.05,0.02,0.16,227.45,120.29,41.6,387.51
LMML,LSZH,0,51,-2.31,15.52,-30.75,21.3,0.03,0.07,-0.07,0.15,59.73,159.93,-142.15,332.6
LMML,LTFM,0,59,-10.97,19.81,-39.27,17.23,-0.01,0.08,-0.12,0.1,-16.37,184.66,-303.4,248.0
LOWG,EDDF,0,98,-13.43,17.68,-40.06,6.7,-0.15,0.08,-0.27,-0.03,-324.62,173.04,-656.26,-64.93
LOWG,EDDM,0,74,14.3,13.57,-2.87,39.78,-0.0,0.08,-0.1,0.15,9.26,140.95,-144.16,296.69
LOWG,LOWW,0,73,20.39,13.3,4.06,43.1,0.13,0.04,0.07,0.2,235.45,74.46,120.0,360.0
LOWI,EDDF,0,72,-34.62,17.33,-64.2,-15.91,-0.16,0.05,-0.25,-0.07,-288.41,98.02,-444.68,-128.4
LOWI,LOWW,0,79,5.86,12.84,-7.64,27.2,0.05,0.06,-0.07,0.13,90.23,113.34,-120.0,240.0
LOWK,LOWW,0,53,16.4,9.32,3.86,34.78,0.1,0.04,0.05,0.17,171.77,66.74,90.0,302.8
LOWL,EDDF,0,52,-15.76,17.42,-40.16,7.51,-0.15,0.05,-0.23,-0.06,-273.09,104.44,-432.18,-109.0
LOWS,EDDF,0,99,-27.13,18.37,-51.5,-4.7,-0.2,0.06,-0.29,-0.12,-466.02,133.51,-702.84,-281.09
LOWS,EDDL,0,50,-17.44,10.57,-31.37,0.25,0.0,0.09,-0.09,0.08,2.47,204.58,-205.54,187.38
LOWW,BKPR,0,65,-23.13,19.79,-57.0,10.08,-0.01,0.06,-0.13,0.08,-30.05,150.21,-327.06,166.7
LOWW,EBBR,0,155,5.44,9.68,-2.3,24.0,0.0,0.07,-0.1,0.13,7.22,167.84,-250.0,292.18
LOWW,EBBR,1,18,-2.34,2.36,-5.16,1.33,-0.0,0.05,-0.07,0.07,-4.56,119.55,-157.7,166.61
LOWW,EBBR,2,16,-20.62,26.3,-61.75,6.02,0.0,0.11,-0.16,0.13,118.68,475.28,-481.22,831.25
LOWW,EDDB,0,221,5.07,7.08,-5.4,16.8,0.03,0.05,-0.05,0.12,83.85,134.48,-133.4,290.3
LOWW,EDDF,0,355,-17.23,20.33,-42.12,0.8,-0.1,0.09,-0.22,0.02,-244.26,211.35,-529.82,41.04
LOWW,EDDH,0,193,-36.25,13.6,-52.5,-2.16,-0.09,0.07,-0.19,0.03,-212.49,170.07,-485.42,66.58
LOWW,EDDK,0,53,-1.63,13.13,-23.76,15.6,0.03,0.08,-0.08,0.17,147.14,367.8,-208.3,927.94
LOWW,EDDK,1,117,-1.88,12.87,-19.42,16.36,-0.01,0.08,-0.12,0.09,-7.89,255.43,-295.34,249.86
LOWW,EDDL,0,67,-7.58,8.71,-21.73,4.31,-0.01,0.06,-0.1,0.09,-17.5,133.39,-231.68,197.37
LOWW,EDDL,1,78,-7.49,21.09,-20.4,7.32,0.03,0.1,-0.05,0.12,71.19,243.59,-118.45,273.17
LOWW,EDDL,2,30,-11.48,13.38,-31.46,11.66,0.02,0.08,-0.06,0.13,55.85,179.68,-145.26,273.2
LOWW,EDDL,3,30,-9.2,8.38,-22.68,6.3,0.02,0.06,-0.07,0.1,35.36,145.79,-174.63,221.3
LOWW,EDDM,0,171,10.86,14.78,-5.6,40.4,-0.03,0.06,-0.11,0.07,-49.48,131.5,-249.15,139.95
LOWW,EDDP,0,68,-59.01,24.11,-92.66,-22.97,-0.06,0.07,-0.14,0.05,-111.01,130.65,-302.0,81.2
LOWW,EDDS,0,141,6.37,9.0,-6.9,20.2,0.05,0.06,-0.07,0.14,88.85,127.57,-147.9,275.5
LOWW,EDDV,0,45,0.18,12.34,-22.64,25.66,-0.0,0.04,-0.07,0.07,-9.48,101.99,-176.16,152.02
LOWW,EDDV,1,32,-2.81,12.23,-13.04,24.9,-0.01,0.05,-0.07,0.07,-16.37,111.1,-168.09,167.96
LOWW,EFHK,0,74,-1.65,8.02,-15.56,8.61,0.05,0.06,-0.04,0.15,116.88,158.88,-88.99,393.66
LOWW,EGKK,0,60,12.46,11.84,-1.32,30.78,0.15,0.11,0.01,0.32,369.29,277.74,34.53,803.17
LOWW,EGLL,0,48,8.13,15.49,-9.96,38.11,0.18,0.13,0.03,0.42,412.52,312.95,75.36,939.87
LOWW,EGLL,1,150,11.83,11.8,0.2,33.52,0.18,0.11,0.02,0.37,412.36,251.38,42.54,836.48
LOWW,EGSS,0,31,10.24,10.34,-2.75,25.3,0.09,0.06,0.01,0.21,220.06,157.96,18.4,521.15
LOWW,EGSS,1,28,2.38,8.95,-7.37,16.83,0.09,0.06,0.01,0.19,217.22,143.02,26.82,467.59
LOWW,EHAM,0,225,8.14,7.92,-3.16,21.7,0.08,0.06,-0.01,0.17,181.44,139.0,-34.84,416.3
LOWW,EHAM,1,30,11.24,10.12,-7.6,28.85,0.07,0.09,-0.03,0.2,164.99,237.77,-63.8,493.95
LOWW,EIDW,0,51,-8.15,18.51,-33.55,21.7,-0.01,0.13,-0.15,0.14,-21.8,293.0,-336.1,343.7
LOWW,EKCH,0,168,-13.65,12.48,-37.31,0.06,-0.06,0.05,-0.15,0.03,-185.82,187.41,-462.88,73.36
LOWW,ELLX,0,65,-19.78,10.85,-35.82,-3.62,-0.11,0.1,-0.2,-0.01,-130.76,120.07,-244.9,-19.7
LOWW,ENGM,0,15,-11.94,10.47,-25.8,0.03,0.01,0.06,-0.08,0.11,13.67,114.78,-167.09,189.1
LOWW,ENGM,1,43,-12.16,16.18,-38.36,7.98,-0.02,0.08,-0.13,0.1,-106.71,351.53,-941.45,271.12
LOWW,EPKK,0,90,-27.08,37.16,-45.53,-0.1,-0.07,0.13,-0.17,0.03,-132.52,252.29,-337.05,76.98
LOWW,EPWA,0,132,-26.14,11.14,-41.24,-2.35,-0.02,0.06,-0.11,0.08,-38.29,110.44,-218.06,150.22
LOWW,EPWA,1,53,-34.04,11.76,-47.8,-10.86,-0.03,0.06,-0.13,0.05,-66.15,128.93,-283.3,100.76
LOWW,ESSA,0,37,-9.98,16.36,-34.32,9.9,0.06,0.08,-0.03,0.16,158.71,204.44,-82.5,401.88
LOWW,ESSA,1,96,4.35,20.47,-19.85,21.82,0.07,0.07,-0.01,0.17,175.83,179.49,-20.18,394.3
