ADEP,ADES,cluster_kmeans,n,delta_dist_nm_pooled_mean,delta_dist_nm_pooled_std,delta_dist_nm_pooled_p5,delta_dist_nm_pooled_p95,delta_duration_h_pooled_mean,delta_duration_h_pooled_std,delta_duration_h_pooled_p5,delta_duration_h_pooled_p95
LIPZ,LICJ,2,31,-5.11,17.24,-18.6,10.45,-0.02,0.09,-0.11,0.11
LIPZ,LIEE,0,15,-14.63,11.32,-31.71,0.87,-0.05,0.12,-0.19,0.12
LIPZ,LIEE,1,21,10.8,17.21,-6.5,34.1,0.11,0.45,-0.09,0.13
LIPZ,LIEE,2,20,4.01,10.96,-9.93,19.37,-0.0,0.08,-0.12,0.12
LIPZ,LIRF,0,88,-32.45,14.34,-48.7,-0.4,-0.16,0.06,-0.24,-0.04
LIPZ,LIRF,1,25,-28.63,10.9,-44.02,-5.2,-0.1,0.06,-0.17,-0.01
LIPZ,LIRN,0,106,-20.93,21.51,-45.98,9.32,-0.06,0.1,-0.17,0.09
LIPZ,LOWW,0,126,12.6,15.0,-5.22,34.48,0.07,0.05,-0.0,0.16
LIPZ,LOWW,1,46,14.33,16.87,-5.42,38.12,0.06,0.04,-0.0,0.13
LIPZ,LPPT,0,76,1.82,19.15,-25.95,37.22,0.07,0.13,-0.11,0.31
LIPZ,LSZH,0,67,-15.4,18.84,-36.96,24.11,-0.04,0.07,-0.13,0.07
LIPZ,LSZH,1,21,7.03,13.18,-18.8,21.4,0.05,0.09,-0.03,0.19
LIPZ,LTFM,0,90,-23.66,21.55,-44.58,9.96,0.01,0.13,-0.15,0.24
LIRA,EGSS,0,86,-0.16,12.26,-15.28,21.45,0.07,0.1,-0.06,0.24
LIRA,EGSS,1,43,-3.04,9.04,-16.82,13.1,0.05,0.09,-0.06,0.19
LIRA,LFOB,0,60,-7.07,10.2,-16.24,8.45,-0.02,0.1,-0.12,0.12
LIRA,LIEE,0,30,-8.37,7.85,-17.14,2.41,-0.04,0.05,-0.13,0.04
LIRA,LIEE,1,22,-7.23,4.23,-14.22,-1.74,-0.08,0.05,-0.13,-0.0
LIRA,LPPT,0,56,1.91,15.06,-19.78,24.1,0.06,0.12,-0.12,0.26
LIRF,CYUL,0,21,-2.7,57.12,-71.3,76.7,0.01,0.39,-0.5,0.64
LIRF,CYUL,1,17,-8.51,40.92,-68.34,58.64,-0.01,0.26,-0.48,0.34
LIRF,CYUL,2,17,-11.62,33.83,-43.22,34.98,-0.01,0.35,-0.43,0.62
LIRF,CYYZ,0,26,-12.74,50.19,-67.58,83.0,-0.03,0.38,-0.64,0.54
LIRF,CYYZ,1,37,-0.9,81.26,-88.32,154.02,-0.0,0.35,-0.6,0.57
LIRF,DAAG,0,70,2.28,19.37,-16.08,26.45,0.05,0.11,-0.1,0.22
LIRF,DTTA,0,65,13.0,11.84,-3.14,34.04,0.05,0.07,-0.05,0.16
LIRF,DTTA,1,18,0.42,8.35,-10.1,13.54,0.03,0.06,-0.05,0.12
LIRF,EBBR,0,124,-10.06,11.56,-25.64,11.35,-0.08,0.08,-0.21,0.03
LIRF,EBBR,1,29,-10.52,14.68,-26.22,15.52,-0.05,0.07,-0.14,0.04
LIRF,EBBR,2,21,-14.71,11.7,-29.1,2.6,-0.09,0.08,-0.25,0.02
LIRF,EDDB,0,93,5.18,10.4,-5.78,24.96,0.02,0.09,-0.14,0.15
LIRF,EDDF,0,92,-26.63,18.56,-54.34,3.13,-0.16,0.09,-0.27,-0.01
LIRF,EDDF,1,60,-37.88,18.03,-63.91,-5.99,-0.2,0.07,-0.29,-0.08
LIRF,EDDF,2,24,-17.52,23.85,-44.6,12.01,-0.09,0.08,-0.2,-0.01
LIRF,EDDK,0,38,6.93,24.77,-13.16,26.99,-0.0,0.2,-0.17,0.2
LIRF,EDDK,1,33,9.85,12.66,-9.5,27.64,0.07,0.08,-0.05,0.19
LIRF,EDDL,0,32,-7.21,24.37,-25.2,18.57,0.03,0.13,-0.1,0.21
LIRF,EDDL,1,21,-10.33,18.87,-30.6,20.4,0.03,0.1,-0.1,0.19
LIRF,EDDM,0,44,7.89,8.17,-1.64,22.44,-0.1,0.07,-0.19,0.01
LIRF,EDDM,1,72,6.75,8.47,-2.2,20.13,-0.06,0.07,-0.16,0.06
LIRF,EDDM,2,24,14.99,14.69,0.05,33.66,-0.08,0.05,-0.15,-0.01
LIRF,EDDM,3,34,17.61,12.94,5.32,35.09,-0.07,0.07,-0.17,0.03
LIRF,EFHK,0,20,-4.5,9.09,-18.47,6.72,0.05,0.16,-0.09,0.33
LIRF,EFHK,1,40,-5.99,10.96,-28.34,8.89,0.03,0.16,-0.24,0.27
LIRF,EGKK,0,151,9.84,13.21,-5.45,30.35,0.15,0.14,-0.06,0.39
LIRF,EGKK,1,58,-0.07,11.34,-14.72,19.32,0.16,0.13,-0.02,0.4
LIRF,EGLL,0,91,11.56,13.95,-5.3,34.25,0.1,0.11,-0.09,0.32
LIRF,EGLL,1,67,3.2,14.26,-11.17,34.34,0.12,0.12,-0.05,0.3
LIRF,EGLL,2,40,-1.39,19.7,-18.6,19.51,0.09,0.11,-0.09,0.27
LIRF,EGLL,3,26,6.13,29.43,-22.02,51.75,0.1,0.13,-0.09,0.28
LIRF,EHAM,0,29,-8.31,20.09,-42.72,25.54,0.03,0.09,-0.13,0.18
LIRF,EHAM,1,119,3.08,11.82,-12.46,22.43,0.04,0.1,-0.12,0.21
LIRF,EHAM,2,18,3.48,15.45,-11.92,30.86,0.04,0.1,-0.1,0.24
LIRF,EHAM,3,26,10.21,14.07,-7.08,39.2,0.09,0.12,-0.06,0.22
LIRF,EHEH,0,19,-12.75,17.39,-35.68,12.81,0.02,0.1,-0.1,0.15
LIRF,EHEH,1,39,-19.72,8.11,-31.7,-6.99,-0.03,0.08,-0.14,0.1
LIRF,EIDW,0,112,-16.03,25.97,-45.72,36.91,-0.06,0.18,-0.27,0.17
LIRF,EKCH,0,109,-6.59,16.88,-27.74,31.96,-0.1,0.11,-0.29,0.08
LIRF,ENGM,0,58,-15.67,15.57,-39.12,14.18,-0.07,0.14,-0.31,0.18
LIRF,EPWA,0,55,-32.34,18.45,-58.62,2.76,-0.04,0.11,-0.22,0.16
LIRF,ESSA,0,47,3.28,24.21,-24.28,48.74,0.02,0.16,-0.17,0.22
LIRF,ESSA,1,35,6.55,10.27,-6.23,22.55,0.04,0.15,-0.19,0.29
LIRF,HECA,0,49,14.79,13.2,-5.1,35.74,0.1,0.13,-0.05,0.23
LIRF,HECA,1,23,8.5,24.42,-22.49,40.04,0.08,0.14,-0.08,0.32
LIRF,HECA,2,44,16.89,15.53,-4.26,41.34,0.1,0.11,-0.03,0.34
LIRF,KATL,0,27,-7.94,39.26,-51.61,74.36,-0.01,0.4,-0.5,0.67
LIRF,KATL,1,33,-6.37,83.41,-110.4,173.64,-0.01,0.33,-0.56,0.37
LIRF,KBOS,0,22,-10.24,37.64,-70.44,36.32,-0.01,0.23,-0.37,0.36
LIRF,KBOS,1,29,-8.46,36.07,-49.18,50.08,-0.02,0.37,-0.51,0.53
LIRF,KBOS,2,8,-7.54,36.82,-38.33,49.97,0.0,0.16,-0.16,0.24
LIRF,KEWR,0,35,-6.44,72.03,-129.42,96.37,0.07,0.29,-0.4,0.45
LIRF,KEWR,1,22,-3.79,71.31,-108.46,119.44,0.01,0.26,-0.35,0.36
LIRF,KIAD,0,17,-5.32,33.58,-50.76,33.1,-0.02,0.36,-0.68,0.45
LIRF,KIAD,1,26,-7.12,31.28,-46.68,52.7,-0.04,0.39,-0.63,0.6
LIRF,KIAD,2,17,-4.47,40.45,-41.24,51.68,-0.01,0.39,-0.58,0.52
LIRF,KJFK,0,39,-7.23,67.66,-66.2,57.79,0.07,0.32,-0.44,0.59
LIRF,KJFK,1,58,-7.72,55.86,-89.44,81.03,0.06,0.37,-0.59,0.52
LIRF,KJFK,2,21,-7.92,21.59,-42.4,22.5,-0.01,0.3,-0.34,0.5
LIRF,KJFK,3,43,-8.74,18.38,-30.36,24.09,-0.05,0.36,-0.42,0.52
LIRF,KJFK,4,15,-6.01,17.49,-32.49,20.77,-0.04,0.38,-0.68,0.46
LIRF,KJFK,5,22,-11.0,31.27,-43.06,46.74,-0.03,0.36,-0.56,0.42
LIRF,KJFK,6,40,-0.07,66.24,-63.67,142.01,-0.02,0.3,-0.48,0.42
LIRF,KORD,0,18,-2.82,89.03,-94.34,139.35,-0.05,0.3,-0.45,0.3
LIRF,KORD,1,23,-0.55,67.33,-66.2,106.86,-0.03,0.29,-0.37,0.39
LIRF,KORD,2,19,-3.09,28.92,-52.45,43.04,-0.04,0.26,-0.33,0.42
LIRF,KSFO,0,22,2.74,54.58,-59.5,119.17,-0.01,0.23,-0.33,0.3
LIRF,KSFO,1,28,-10.22,93.15,-104.74,174.04,-0.05,0.24,-0.39,0.41
LIRF,LATI,0,77,-49.54,12.14,-67.12,-32.64,-0.08,0.07,-0.17,0.03
LIRF,LATI,1,49,-2.03,16.69,-21.56,24.44,0.03,0.06,-0.05,0.11
LIRF,LDSP,0,69,-7.04,8.7,-22.46,5.5,0.0,0.09,-0.13,0.17
LIRF,LEBL,0,112,-6.49,14.13,-29.84,18.25,-0.03,0.08,-0.15,0.1
LIRF,LEBL,1,293,2.29,10.13,-5.1,22.78,-0.02,0.08,-0.14,0.11
LIRF,LEIB,0,66,-14.36,20.68,-41.92,14.12,-0.03,0.09,-0.16,0.12
LIRF,LEMD,0,437,-3.69,16.67,-18.42,24.36,0.0,0.13,-0.17,0.2
LIRF,LEMG,0,97,-8.07,16.29,-34.36,11.4,0.05,0.11,-0.11,0.21
LIRF,LEVC,0,107,15.4,24.19,-0.87,37.82,0.06,0.14,-0.09,0.24
LIRF,LFLL,0,70,9.25,10.07,-5.3,24.63,0.04,0.04,-0.02,0.1
LIRF,LFML,0,60,15.28,19.34,-4.42,50.0,0.09,0.11,-0.05,0.25
LIRF,LFMN,0,23,12.02,12.39,-0.47,30.42,-0.02,0.08,-0.12,0.1
LIRF,LFMN,1,67,8.5,8.37,-2.8,23.13,0.03,0.04,-0.03,0.11
LIRF,LFMN,2,49,11.15,14.2,-4.52,27.64,0.03,0.07,-0.07,0.16
LIRF,LFPG,0,309,-7.87,31.72,-34.86,18.78,0.02,0.1,-0.1,0.16
LIRF,LFPO,0,73,0.39,10.85,-15.06,11.56,0.03,0.08,-0.08,0.15
LIRF,LFPO,1,20,0.41,9.84,-17.24,13.03,0.04,0.09,-0.09,0.16
LIRF,LFPO,2,114,0.47,10.46,-14.84,14.78,0.03,0.07,-0.08,0.13
LIRF,LFPO,3,37,2.85,9.84,-10.96,15.92,0.06,0.09,-0.06,0.21
LIRF,LFPO,4,21,2.1,8.71,-9.9,14.5,0.06,0.08,-0.02,0.23
LIRF,LFPO,5,17,4.29,11.11,-13.22,19.76,0.04,0.09,-0.1,0.13
LIRF,LGAV,0,132,-7.67,15.47,-25.49,27.73,-0.03,0.08,-0.12,0.12
LIRF,LGAV,1,117,-19.33,20.11,-37.76,16.08,-0.05,0.1,-0.18,0.11
LIRF,LIBD,0,43,-55.86,18.09,-77.25,-31.32,-0.18,0.06,-0.26,-0.09
LIRF,LIBD,1,94,-1.46,23.17,-21.58,24.8,-0.03,0.07,-0.12,0.08
LIRF,LIBD,2,37,-26.46,9.71,-39.0,-11.4,-0.07,0.05,-0.14,0.0
LIRF,LIBD,3,27,3.92,32.11,-18.78,21.94,-0.01,0.08,-0.1,0.05
LIRF,LIBR,0,57,-1.05,12.6,-20.28,21.84,-0.03,0.09,-0.13,0.1
LIRF,LIBR,1,62,1.35,12.8,-18.98,20.12,-0.0,0.06,-0.09,0.11
LIRF,LIBR,2,24,9.75,21.69,-10.88,41.62,-0.0,0.07,-0.09,0.15
LIRF,LICA,0,91,-5.03,11.63,-15.55,17.65,-0.11,0.07,-0.2,0.04
LIRF,LICC,0,228,-30.61,29.1,-52.66,3.0,-0.03,0.1,-0.14,0.09
LIRF,LICC,1,215,-35.53,16.53,-51.16,-0.3,-0.05,0.07,-0.14,0.05
LIRF,LICC,2,20,-42.47,23.22,-73.95,-7.04,-0.0,0.13,-0.14,0.1
LIRF,LICJ,0,507,5.9,10.96,-3.27,24.38,-0.01,0.06,-0.08,0.07
LIRF,LICR,0,56,-19.65,3.55,-24.72,-13.6,-0.17,0.04,-0.24,-0.1
LIRF,LIEA,0,89,-5.05,7.2,-13.06,7.04,-0.03,0.05,-0.11,0.04
LIRF,LIEE,0,161,-2.14,10.06,-10.9,11.9,-0.03,0.07,-0.11,0.06
LIRF,LIEE,1,60,4.37,22.47,-5.82,4.8,-0.07,0.1,-0.15,-0.01
LIRF,LIEE,2,17,-6.51,4.34,-12.14,1.5,-0.08,0.05,-0.14,-0.01
LIRF,LIEO,0,176,-21.26,16.81,-43.92,2.33,-0.14,0.06,-0.25,-0.05
LIRF,LIME,0,67,-27.25,12.52,-48.38,-9.99,-0.08,0.09,-0.15,0.02
LIRF,LIMF,0,81,-0.96,4.01,-4.3,7.4,0.02,0.04,-0.04,0.1
LIRF,LIMF,1,25,-0.82,3.52,-4.38,6.26,-0.02,0.03,-0.08,0.03
LIRF,LIMJ,0,111,1.93,8.74,-3.95,17.8,0.04,0.04,-0.01,0.12
LIRF,LIML,0,113,-1.57,9.56,-10.76,12.16,-0.04,0.05,-0.1,0.04
LIRF,LIML,1,255,-1.89,8.33,-9.7,7.09,-0.01,0.08,-0.09,0.09
LIRF,LIPE,0,87,-1.56,8.7,-15.19,12.09,-0.01,0.1,-0.07,0.06
LIRF,LIPQ,0,112,-5.96,7.76,-15.04,8.38,0.04,0.04,-0.03,0.12
LIRF,LIPZ,0,115,-20.86,12.83,-34.83,1.33,-0.1,0.06,-0.18,-0.01
LIRF,LIRN,0,93,-24.42,29.34,-64.14,11.76,0.0,0.13,-0.14,0.19
LIRF,LIRN,1,16,-17.98,12.06,-30.92,1.85,0.03,0.06,-0.04,0.14
LIRF,LIRQ,0,110,1.35,7.85,-2.48,7.93,-0.04,0.05,-0.09,0.05
LIRF,LKPR,0,19,-28.38,14.07,-48.71,-8.94,-0.07,0.08,-0.17,0.05
LIRF,LKPR,1,76,-7.4,9.37,-20.35,8.9,-0.01,0.09,-0.16,0.15
LIRF,LKPR,2,21,-8.05,10.67,-22.4,4.8,-0.01,0.05,-0.08,0.09
LIRF,LLBG,0,185,1.6,17.61,-23.18,35.2,0.02,0.1,-0.13,0.19
LIRF,LMML,0,25,28.07,11.4,13.24,47.82,0.08,0.05,-0.01,0.16
LIRF,LMML,1,73,20.22,13.22,-1.7,37.6,0.05,0.06,-0.06,0.15
LIRF,LMML,2,17,22.88,10.25,1.58,33.04,0.0,0.05,-0.08,0.07
LIRF,LOWW,0,102,13.21,16.53,-12.16,37.28,0.07,0.08,-0.03,0.18
LIRF,LOWW,1,51,9.48,16.87,-15.7,37.15,0.05,0.08,-0.08,0.19
LIRF,LPPT,0,119,3.24,19.14,-19.0,26.53,0.07,0.12,-0.1,0.28
LIRF,LROP,0,61,-23.56,15.66,-48.1,-3.9,-0.03,0.09,-0.16,0.11
LIRF,LSGG,0,34,17.66,18.68,0.52,40.43,-0.08,0.07,-0.16,0.06
LIRF,LSGG,1,19,-9.15,9.36,-22.77,0.77,0.03,0.06,-0.06,0.14
LIRF,LSGG,2,37,-11.62,11.19,-25.78,6.56,-0.02,0.07,-0.14,0.09
LIRF,LSZH,0,59,-8.92,12.52,-28.0,12.38,-0.03,0.08,-0.12,0.07
LIRF,LSZH,1,40,-14.14,19.55,-41.35,17.51,-0.06,0.06,-0.17,0.04
LIRF,LSZH,2,55,-10.27,21.74,-38.6,10.8,-0.03,0.09,-0.14,0.11
LIRF,LSZH,3,17,-12.58,17.26,-29.76,16.1,-0.01,0.09,-0.12,0.13
LIRF,LTFJ,0,54,-39.54,26.9,-76.91,14.58,-0.05,0.13,-0.22,0.18
LIRF,LTFJ,1,16,-28.22,25.15,-51.12,25.22,-0.03,0.12,-0.18,0.13
LIRF,LTFJ,2,19,-35.44,19.24,-62.48,-13.47,-0.05,0.1,-0.18,0.07
LIRF,LTFM,0,98,-37.82,25.31,-64.4,-5.43,-0.06,0.16,-0.23,0.13
LIRF,LTFM,1,22,-39.14,21.67,-68.89,1.04,-0.05,0.09,-0.19,0.09
LIRF,LYBE,0,63,-4.5,26.19,-27.83,34.79,0.01,0.2,-0.12,0.19
LIRF,OMAA,0,41,17.83,39.52,-64.0,63.3,0.01,0.27,-0.48,0.28
LIRF,OMAA,1,19,3.78,14.68,-18.74,22.01,0.04,0.09,-0.1,0.16
LIRF,OMDB,0,40,9.38,26.42,-17.59,65.06,0.21,0.11,0.07,0.39
LIRF,OMDB,1,20,19.43,16.17,-8.59,39.58,0.26,0.13,0.12,0.45
LIRF,OTHH,0,15,11.04,20.8,-14.17,48.05,0.02,0.08,-0.07,0.16
LIRF,OTHH,1,62,11.65,21.38,-13.29,51.07,0.07,0.09,-0.07,0.23
LIRF,SAEZ,0,19,3.31,36.5,-32.3,79.01,0.01,0.23,-0.39,0.26
LIRF,SAEZ,1,15,-15.03,28.83,-38.0,47.07,-0.0,0.27,-0.31,0.4
LIRF,SAEZ,2,18,-4.01,43.91,-30.76,38.43,-0.01,0.27,-0.37,0.4
LIRF,SBGR,0,43,3.99,15.24,-10.59,27.87,-0.0,0.24,-0.46,0.43
LIRF,SBGR,1,15,9.91,71.06,-43.59,127.69,0.01,0.37,-0.43,0.55
LIRN,EDDF,0,23,-48.14,21.35,-76.85,-12.58,-0.18,0.1,-0.31,-0.0
LIRN,EDDF,1,31,-40.67,22.11,-68.25,-14.35,-0.19,0.09,-0.32,-0.06
LIRN,EDDF,2,20,-32.4,32.44,-66.75,9.06,-0.12,0.09,-0.25,0.0
LIRN,EDDM,0,29,-0.88,11.95,-20.12,18.22,-0.03,0.07,-0.15,0.06
LIRN,EDDM,1,31,-12.53,14.08,-26.95,15.5,-0.12,0.07,-0.24,-0.02
LIRN,EDDM,2,27,-16.4,13.09,-31.88,12.62,-0.09,0.08,-0.2,0.02
LIRN,EDDM,3,21,4.03,15.94,-22.2,32.6,-0.01,0.1,-0.11,0.2
LIRN,EGKK,0,91,-11.36,18.97,-32.95,13.6,0.13,0.16,-0.06,0.4
LIRN,EGLL,0,77,-2.36,24.66,-26.96,53.12,0.12,0.14,-0.09,0.35
LIRN,EGSS,0,53,-12.98,13.74,-31.64,6.88,0.04,0.1,-0.13,0.19
LIRN,EHAM,0,49,-5.15,17.78,-29.34,32.46,0.03,0.11,-0.15,0.19
LIRN,EHAM,1,28,-18.45,20.05,-41.21,16.5,0.01,0.1,-0.13,0.15
LIRN,EIDW,0,37,-26.44,22.11,-55.18,19.12,-0.05,0.17,-0.29,0.22
LIRN,EIDW,1,21,-18.45,46.17,-51.3,32.0,-0.0,0.28,-0.22,0.28
LIRN,LEBL,0,42,-11.02,15.88,-28.65,17.53,-0.04,0.08,-0.15,0.09
LIRN,LEBL,1,70,-1.5,14.89,-12.96,26.61,-0.01,0.09,-0.15,0.13
LIRN,LEMD,0,65,-0.51,21.84,-18.48,28.7,0.03,0.13,-0.13,0.24
LIRN,LFMN,0,55,-5.01,13.96,-21.66,22.67,0.01,0.08,-0.09,0.11
LIRN,LFPG,0,61,-5.06,25.51,-28.2,26.7,0.04,0.09,-0.07,0.21
LIRN,LFPG,1,69,-6.23,13.24,-22.42,19.36,0.03,0.1,-0.11,0.21
LIRN,LFPO,0,115,-13.58,20.19,-36.41,22.48,0.03,0.08,-0.1,0.16
LIRN,LGAV,0,50,1.2,27.33,-16.76,28.76,0.02,0.14,-0.1,0.18
LIRN,LGMK,0,34,-15.25,15.27,-32.82,17.07,-0.0,0.08,-0.09,0.13
LIRN,LGMK,1,17,-17.94,11.29,-31.12,0.86,-0.02,0.09,-0.13,0.09
LIRN,LICC,0,73,-35.08,19.84,-59.84,2.72,-0.05,0.07,-0.18,0.05
LIRN,LICC,1,55,-66.47,12.02,-82.63,-44.94,-0.11,0.06,-0.22,-0.03
LIRN,LICJ,0,78,4.45,14.21,-12.58,27.78,-0.01,0.05,-0.1,0.08
LIRN,LICJ,1,22,-10.45,18.23,-23.2,3.6,-0.09,0.08,-0.15,-0.0
LIRN,LICJ,2,19,6.94,11.62,-6.5,23.96,-0.06,0.05,-0.14,-0.0
LIRN,LIEO,0,53,-25.32,12.07,-46.14,-7.64,-0.12,0.05,-0.2,-0.04
LIRN,LIMC,0,222,-62.54,22.4,-88.39,-13.36,-0.26,0.09,-0.37,-0.1
LIRN,LIME,0,96,-26.46,8.94,-39.3,-9.6,-0.05,0.05,-0.13,0.03
LIRN,LIMF,0,70,-12.67,13.05,-27.39,3.24,-0.03,0.08,-0.13,0.04
LIRN,LIML,0,77,-23.36,15.04,-37.86,-4.44,-0.02,0.11,-0.1,0.11
LIRN,LIML,1,26,-20.34,7.02,-28.52,-11.02,-0.11,0.04,-0.17,-0.07
LIRN,LIML,2,37,-5.96,4.53,-11.98,1.58,-0.07,0.04,-0.13,0.0
LIRN,LIML,3,11,-10.61,6.03,-19.55,-3.0,-0.03,0.04,-0.08,0.03
LIRN,LIPZ,0,22,-39.54,20.83,-59.28,-9.26,-0.12,0.06,-0.2,-0.03
LIRN,LIPZ,1,65,-26.96,16.99,-54.6,0.96,-0.1,0.06,-0.2,-0.0
LIRN,LIPZ,2,19,-16.91,13.46,-39.71,0.11,-0.09,0.05,-0.16,-0.03
LIRN,LIRF,0,100,-66.93,18.12,-88.13,-27.35,-0.16,0.06,-0.25,-0.05
LIRN,LMML,0,31,18.9,14.8,-4.8,32.35,0.06,0.07,-0.01,0.16
LIRN,LMML,1,20,14.28,12.91,-1.35,33.49,0.02,0.06,-0.05,0.1
LIRN,LOWW,0,63,10.77,16.57,-9.04,41.94,0.07,0.07,-0.03,0.17
LIRN,LOWW,1,19,26.12,17.93,7.86,60.0,0.07,0.06,-0.02,0.17
LIRN,LSZH,0,21,-15.69,19.0,-42.1,13.4,0.03,0.12,-0.06,0.26
LIRN,LSZH,1,62,-25.15,17.06,-52.06,8.33,-0.01,0.11,-0.15,0.21
LIRN,LTFM,0,52,-25.96,15.07,-44.97,1.3,-0.02,0.07,-0.13,0.08
LIRP,EBCI,0,50,-52.57,20.77,-73.72,-8.36,-0.13,0.08,-0.23,0.01
LIRP,EDDF,0,53,-18.66,31.06,-55.86,39.76,-0.14,0.12,-0.26,0.14
LIRP,EGCC,0,52,7.55,16.16,-5.74,32.35,0.02,0.1,-0.13,0.18
LIRP,EGKK,0,69,11.69,17.07,-4.46,21.32,0.14,0.13,-0.04,0.32
LIRP,EGLL,0,64,7.8,16.16,-7.14,34.28,0.11,0.13,-0.03,0.36
LIRP,EGSS,0,95,2.9,14.16,-13.22,20.9,0.08,0.08,-0.03,0.21
LIRP,EHAM,0,15,2.6,17.17,-25.99,23.46,0.03,0.07,-0.06,0.14
LIRP,EHAM,1,35,7.06,17.19,-24.07,32.22,0.08,0.1,-0.11,0.25
LIRP,LATI,0,11,-2.08,34.08,-30.75,48.3,-0.02,0.09,-0.15,0.11
LIRP,LATI,1,25,-24.11,13.09,-41.92,1.98,-0.07,0.09,-0.19,0.13
LIRP,LATI,2,39,-42.98,17.93,-63.31,-8.66,-0.07,0.06,-0.14,0.03
LIRP,LATI,3,19,-39.06,15.74,-57.1,-17.47,-0.06,0.08,-0.17,0.05
LIRP,LICC,0,36,-23.05,20.37,-43.45,17.08,0.02,0.07,-0.11,0.11
LIRP,LICC,1,24,-31.69,15.65,-52.84,-3.45,-0.0,0.08,-0.11,0.13
LIRP,LICJ,0,60,11.89,23.87,-2.81,34.92,0.02,0.1,-0.07,0.11
LIRP,LIEE,0,40,2.52,20.52,-17.31,41.74,-0.03,0.09,-0.11,0.1
LIRP,LIEE,1,20,-14.97,14.33,-44.72,-0.85,-0.08,0.06,-0.16,0.01
LIRQ,EDDF,0,81,-32.83,16.27,-59.0,-4.6,-0.21,0.07,-0.31,-0.09
LIRQ,EDDF,1,26,-9.8,43.97,-46.25,8.9,-0.03,0.22,-0.16,0.05
LIRQ,EDDM,0,64,6.95,10.53,-4.4,27.35,-0.06,0.06,-0.14,0.06
LIRQ,EDDM,1,21,6.6,7.91,-2.7,21.6,-0.08,0.04,-0.12,-0.02
LIRQ,EGKK,0,60,-3.2,32.7,-39.7,63.13,0.19,0.17,-0.05,0.51
LIRQ,EGLC,0,55,-5.3,15.42,-19.13,16.83,0.02,0.07,-0.09,0.12
LIRQ,EHAM,0,44,-2.02,17.25,-29.14,21.62,0.05,0.09,-0.08,0.2
LIRQ,EHAM,1,87,5.76,9.14,-7.9,23.27,0.04,0.08,-0.07,0.2
LIRQ,EHAM,2,18,3.41,10.77,-13.51,21.32,0.04,0.1,-0.11,0.17
LIRQ,LEBL,0,75,-9.48,20.68,-34.86,30.21,-0.03,0.09,-0.19,0.12
LIRQ,LEMD,0,53,-4.68,10.41,-17.28,14.5,0.05,0.14,-0.11,0.31
LIRQ,LFPG,0,37,4.32,9.94,-9.94,21.74,0.07,0.06,-0.02,0.16
LIRQ,LFPG,1,62,4.23,9.09,-1.6,22.96,0.06,0.07,-0.03,0.19
LIRQ,LFPG,2,77,7.05,11.51,-0.46,37.02,0.06,0.05,-0.01,0.14
LIRQ,LFPO,0,53,-0.75,9.72,-13.18,13.2,0.06,0.06,-0.02,0.15
LIRQ,LIRF,0,52,-37.74,14.25,-51.84,-3.0,-0.15,0.05,-0.22,-0.06
LIRQ,LIRF,1,27,-30.65,14.45,-55.66,-4.58,-0.11,0.05,-0.18,-0.03
LIRQ,LIRF,2,30,-35.8,17.86,-53.62,-1.35,-0.18,0.05,-0.24,-0.08
LIRQ,LOWW,0,58,20.22,13.5,1.94,41.29,0.07,0.07,-0.02,0.16
LIRQ,LSZH,0,112,-11.64,18.86,-42.8,9.08,-0.01,0.08,-0.12,0.13
LJLJ,EDDF,0,61,-50.19,22.27,-82.2,-23.7,-0.21,0.07,-0.31,-0.09
LJLJ,EDDF,1,20,-55.07,20.98,-81.82,-27.22,-0.19,0.05,-0.25,-0.1
LJLJ,LTFM,0,52,-29.03,21.03,-50.89,25.05,0.0,0.12,-0.14,0.2
LJLJ,LYBE,0,80,-19.56,15.58,-30.5,11.66,-0.03,0.15,-0.39,0.15
LKPR,EBBR,0,77,-8.75,16.55,-18.74,11.96,-0.02,0.07,-0.11,0.08
LKPR,EDDF,0,90,-40.33,26.72,-64.64,2.48,-0.22,0.08,-0.34,-0.08
LKPR,EDDF,1,39,-32.66,18.3,-58.6,-3.7,-0.19,0.06,-0.28,-0.12
LKPR,EDDL,0,15,-20.87,17.17,-39.74,3.27,-0.07,0.04,-0.12,-0.01
LKPR,EDDL,1,38,-14.68,21.0,-37.54,7.27,0.02,0.08,-0.07,0.17
LKPR,EDDM,0,83,-18.39,16.53,-38.08,9.33,-0.13,0.06,-0.23,-0.03
LKPR,EFHK,0,16,-15.89,8.27,-26.75,-2.6,-0.0,0.1,-0.11,0.17
LKPR,EFHK,1,27,-14.59,12.17,-36.39,3.7,0.01,0.07,-0.09,0.11
LKPR,EFHK,2,20,-21.6,22.23,-42.2,26.83,-0.02,0.14,-0.23,0.18
LKPR,EFHK,3,15,-12.26,11.0,-30.72,-0.55,0.03,0.11,-0.08,0.23
LKPR,EGCC,0,35,-19.63,23.85,-51.64,12.86,0.02,0.11,-0.14,0.18
LKPR,EGCC,1,24,-13.86,22.94,-50.74,18.74,-0.02,0.09,-0.14,0.1
LKPR,EGLL,0,83,-5.26,12.78,-21.65,18.4,0.17,0.12,0.01,0.39
LKPR,EGLL,1,45,-16.02,18.17,-45.28,13.84,0.16,0.12,-0.01,0.37
LKPR,EGSS,0,74,-17.29,13.56,-34.14,7.08,0.05,0.08,-0.07,0.19
