ECTRL ID,ADEP,ADES,cluster_kmeans
265671998,EGLL,KJFK,3
265672434,LEBL,LEPA,0
265672776,LEBL,LEPA,0
265673216,EGLL,KJFK,2
265673751,EGLL,KJFK,5
265673985,LEBL,LEPA,0
265674721,LEBL,LEPA,0
265675022,LEBL,LEPA,0
265675295,LEBL,LEPA,0
265675348,LEBL,LEPA,0
265679573,LEBL,LEPA,0
265680793,LPPT,EDDB,0
265680963,LEBL,LEPA,0
265681527,LEBL,LEPA,0
265682515,LEBL,LEPA,0
265682849,LEBL,LEPA,0
265682936,EGLL,KJFK,5
265683025,LEBL,LEPA,0
265683435,LEBL,LEPA,0
265683802,LEBL,LEPA,0
265684337,LEBL,LEPA,0
265684773,EGLL,KJFK,2
265686556,EGLL,KJFK,2
265687479,EGLL,KJFK,6
265688865,EGLL,KJFK,2
265689063,LEBL,LEPA,0
265689528,LEBL,LEPA,0
265690186,EGLL,KJFK,2
265691011,EGLL,KJFK,2
265692265,EGLL,KJFK,8
265692900,LPPT,EDDB,1
265693719,EGLL,KJFK,8
265693722,EGLL,KJFK,6
265693989,EGLL,KJFK,8
265694071,LEBL,LEPA,0
265696090,LEBL,LEPA,0
265696864,EGLL,KJFK,6
265697015,LEBL,LEPA,0
265697375,EGLL,KJFK,8
265697542,EGLL,KJFK,2
265699192,LEBL,LEPA,0
265699392,EGLL,KJFK,6
265699529,EGLL,KJFK,8
265700547,EGLL,KJFK,2
265700828,LEBL,LEPA,0
265701912,LEBL,LEPA,0
265702088,EGLL,KJFK,2
265702465,EGLL,KJFK,2
265702789,LPPT,EDDB,0
265703309,EGLL,KJFK,8
265703670,LEBL,LEPA,0
265704045,EGLL,KJFK,2
265704424,LEBL,LEPA,0
265704958,LEBL,LEPA,0
265705296,EGLL,KJFK,2
265705769,EGLL,KJFK,7
265706035,LEBL,LEPA,0
265706663,LEBL,LEPA,0
265707309,LEBL,LEPA,0
265711542,LEBL,LEPA,0
265711584,LEBL,LEPA,0
265712512,LEBL,LEPA,0
265714021,LEBL,LEPA,0
265715103,LEBL,LEPA,0
265715281,EGLL,KJFK,8
265715293,LEBL,LEPA,0
265715764,LEBL,LEPA,0
265715835,LPPT,EDDB,0
265716238,LEBL,LEPA,0
265716765,EGLL,KJFK,2
265718599,EGLL,KJFK,2
265719421,EGLL,KJFK,2
265720799,EGLL,KJFK,3
265721055,LEBL,LEPA,0
265721584,LEBL,LEPA,0
265722295,EGLL,KJFK,6
265723123,EGLL,KJFK,2
265723494,EGLL,KJFK,8
265723836,LPPT,EDDB,0
265725856,EGLL,KJFK,6
265726159,LEBL,LEPA,0
265727675,LEBL,LEPA,0
265728374,LEBL,LEPA,0
265728457,EGLL,KJFK,2
265728627,EGLL,KJFK,2
265728806,LEBL,LEPA,0
265729223,LEBL,LEPA,0
265729675,EGLL,KJFK,2
265729905,LEBL,LEPA,0
265731386,LEBL,LEPA,0
265731682,EGLL,KJFK,6
265731759,EGLL,KJFK,2
265732983,LEBL,LEPA,0
265734109,LEBL,LEPA,0
265734137,LPPT,EDDB,0
265734279,EGLL,KJFK,6
265734743,EGLL,KJFK,2
265735572,EGLL,KJFK,8
265736315,EGLL,KJFK,3
265737185,LEBL,LEPA,0
265737598,EGLL,KJFK,2
265738073,EGLL,KJFK,5
265738400,LEBL,LEPA,0
265738964,LEBL,LEPA,0
265739595,LEBL,LEPA,0
265739628,LEBL,LEPA,0
265743896,EGLL,KJFK,0
265743918,LEBL,LEPA,0
265744469,EGLL,KJFK,6
265744700,EGLL,KJFK,6
265745021,LEBL,LEPA,0
265746353,LEBL,LEPA,0
265746656,EGLL,KJFK,3
265747205,LEBL,LEPA,0
265747242,EGLL,KJFK,2
265747299,LEBL,LEPA,0
265747892,LPPT,EDDB,0
265748700,EGLL,KJFK,2
265749168,EGLL,KJFK,2
265751484,EGLL,KJFK,5
265751558,EGLL,KJFK,6
265752546,LEBL,LEPA,0
265753289,EGLL,KJFK,3
265754487,LPPT,EDDB,0
265754896,EGLL,KJFK,2
265755061,LPPT,EDDB,0
265755567,EGLL,KJFK,5
265756853,LEBL,LEPA,0
265756971,LEBL,LEPA,0
265758084,LEBL,LEPA,0
265758812,EGLL,KJFK,3
265758972,EGLL,KJFK,2
265758986,LEBL,LEPA,0
265759615,EGLL,KJFK,5
265759865,LEBL,LEPA,0
265760832,LEBL,LEPA,0
265762301,LEBL,LEPA,0
265763306,LEBL,LEPA,0
265763869,LEBL,LEPA,0
265765173,LEBL,LEPA,0
265765174,EGLL,KJFK,3
265765595,EGLL,KJFK,2
265767256,LEBL,LEPA,0
265768356,LEBL,LEPA,0
265770731,LEBL,LEPA,0
265770992,EGLL,KJFK,3
265771255,EGLL,KJFK,3
265771477,LEBL,LEPA,0
265771758,LEBL,LEPA,0
265771787,EGLL,KJFK,3
265771822,LEBL,LEPA,0
265772014,EGLL,KJFK,3
265772156,LEBL,LEPA,0
265772554,LEBL,LEPA,0
265773280,EGLL,KJFK,2
265775629,EGLL,KJFK,2
265776064,LEBL,LEPA,0
265776844,LEBL,LEPA,0
265778777,EGLL,KJFK,6
265779944,EGLL,KJFK,8
265780526,EGLL,KJFK,2
265780587,LEBL,LEPA,0
265780605,EGLL,KJFK,2
265782443,EGLL,KJFK,2
265783698,LPPT,EDDB,0
265785768,EGLL,KJFK,2
265785955,EGLL,KJFK,5
265787518,EGLL,KJFK,3
265788223,LEBL,LEPA,0
265788947,EGLL,KJFK,0
265789208,LEBL,LEPA,0
265789367,EGLL,KJFK,2
265789399,LPPT,EDDB,0
265791639,LEBL,LEPA,0
265791998,EGLL,KJFK,5
265792393,EGLL,KJFK,8
265792616,LEBL,LEPA,0
265792637,LEBL,LEPA,0
265793926,LEBL,LEPA,0
265795206,LEBL,LEPA,0
265795482,LPPT,EDDB,0
265795483,LEBL,LEPA,0
265795766,LEBL,LEPA,0
265795803,EGLL,KJFK,2
265796057,LEBL,LEPA,0
265796304,LEBL,LEPA,0
265797247,LEBL,LEPA,0
265798041,LEBL,LEPA,0
265798387,EGLL,KJFK,2
265798881,LEBL,LEPA,0
265800135,EGLL,KJFK,2
265801719,LEBL,LEPA,0
265801957,EGLL,KJFK,2
265802616,LEBL,LEPA,0
265803929,LEBL,LEPA,0
265805028,EGLL,KJFK,2
265806297,LEBL,LEPA,0
265806882,EGLL,KJFK,3
265806961,EGLL,KJFK,2
265807182,LEBL,LEPA,0
265808075,LEBL,LEPA,0
265809133,EGLL,KJFK,3
265809707,LEBL,LEPA,0
265809723,EGLL,KJFK,3
265810428,LEBL,LEPA,0
265810483,EGLL,KJFK,6
265810630,LEBL,LEPA,0
265810666,LEBL,LEPA,0
265810768,EGLL,KJFK,3
265810844,LEBL,LEPA,0
265810923,EGLL,KJFK,5
265811245,EGLL,KJFK,3
265811419,EGLL,KJFK,3
265811908,LEBL,LEPA,0
265813029,EGLL,KJFK,3
265813326,EGLL,KJFK,6
265813495,LEBL,LEPA,0
265813828,LPPT,EDDB,0
265814136,EGLL,KJFK,3
265814714,LEBL,LEPA,0
265815013,EGLL,KJFK,5
265815150,LPPT,EDDB,0
265815195,LEBL,LEPA,0
265815422,LEBL,LEPA,0
265815804,LEBL,LEPA,0
265816349,EGLL,KJFK,6
265816490,EGLL,KJFK,3
265817330,LEBL,LEPA,0
265817548,EGLL,KJFK,3
265818189,EGLL,KJFK,6
265820457,LEBL,LEPA,0
265821395,EGLL,KJFK,6
265821816,LEBL,LEPA,0
265822066,LEBL,LEPA,0
265822245,LEBL,LEPA,0
265823393,EGLL,KJFK,3
265824053,LEBL,LEPA,0
265824101,EGLL,KJFK,3
265826270,LEBL,LEPA,0
265826657,LEBL,LEPA,0
265826671,LPPT,EDDB,0
265828237,EGLL,KJFK,5
265829791,LEBL,LEPA,0
265834076,EGLL,KJFK,3
265834817,EGLL,KJFK,3
265834973,EGLL,KJFK,5
265835374,EGLL,KJFK,3
265835506,LEBL,LEPA,0
