ADEP,ADES,cluster_kmeans,n_flights,mean_duration_h,most_common_ac,mean_total_dist_nm,mean_BGGLFIR,mean_EGGXFIR,mean_EGTTFIR,mean_EGTTUIR,mean_EISNUIR,mean_ENORFIR,mean_LECBFIR,mean_LPPOFIR,mean_LPPCFIR,mean_LFBBFIR,mean_LFFFFIR,mean_LFEEFIR,mean_EDGGFIR,mean_EDMMFIR,mean_EDWWFIR,mean_LGGGFIR,mean_LGGGUIR,mean_LIRRUIR,mean_LIMMUIR,mean_LFFFUIR,mean_LJLAFIR,mean_LOVVFIR,mean_LDZOFIR,mean_LSASUIR,mean_EBURUIR,mean_EDUUUIR,mean_LAAAFIR,mean_LYBAUIR,mean_EGPXUIR,mean_BIRDFIR,mean_CZQMFIR,mean_CZULFIR,mean_CZQXFIR,mean_cost_eur,std_cost_eur,n_clusters_od
CYUL,EGLL,2,23,5.65072463768116,B789,2071.0752173913047,0.0,1105.9652173913043,135.11869565217393,283.1986956521739,515.2817391304347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34086956521739,0.0,474.1930434782608,355.7982608695652,2244.2995652173913,32526.16,1511.36,3
CYUL,EHAM,0,51,6.011437908496732,B788,2230.7729411764703,0.0,1116.7556862745098,21.613333333333333,555.5519607843137,453.5701960784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.604705882352945,0.0,46.22941176470588,1046.1745098039216,2108.8458823529413,30479.03,7951.38,1
CYUL,GMMN,0,26,6.18076923076923,A333,3533.8503846153844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.5,319.1076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.9015384615385,217.34115384615384,53.28038461538461,30697.95,3066.51,2
CYUL,GMMN,1,44,6.1469696969696965,B788,3344.830454545455,0.0,110.9934090909091,0.0,0.0,0.0,0.0,0.0,1714.495,346.23477272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.4581818181819,473.64909090909094,1752.6475,30296.25,2665.71,2
CYUL,LFPG,0,21,6.192063492063492,B77W,1644.5795238095238,0.0,1094.142380952381,0.0,342.10857142857145,476.9161904761905,0.0,0.0,0.0,0.0,0.0,128.8152380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0390476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.08190476190475,297.54,2617.884285714286,39357.84,9993.24,6
CYUL,LFPG,1,33,6.061111111111111,B77W,2807.2160606060606,0.0,1430.391212121212,0.0,293.19363636363636,133.76060606060608,0.0,0.0,0.0,0.0,0.0,141.68242424242422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.9636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.920909090909,223.22151515151515,1851.8072727272727,43316.44,7755.78,6
CYUL,LFPG,2,48,6.176041666666666,B77W,2454.7920833333333,0.0,1120.3589583333335,0.0,306.97770833333334,430.099375,0.0,0.0,0.0,0.0,0.0,140.54666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0083333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.8864583333334,2030.9654166666667,40760.77,8366.59,6
CYUL,LFPG,3,65,6.000769230769231,B77W,2588.6156923076924,0.0,1125.323076923077,2.6450769230769233,499.3796923076923,502.04553846153846,0.0,0.0,0.0,0.0,0.0,122.6776923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.90030769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.969846153846,1882.656,44485.08,5262.98,6
CYUL,LFPG,4,6,6.102777777777778,B77W,2137.313333333333,0.0,1050.855,0.0,373.73499999999996,519.5416666666666,0.0,0.0,0.0,0.0,0.0,115.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.8516666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.32,883.5783333333334,2275.0800000000004,41074.18,7556.6,6
CYUL,LFPG,5,19,6.192982456140351,B77W,2889.7368421052633,0.0,1607.4157894736843,0.0,259.218947368421,0.0,0.0,0.0,35.1221052631579,0.0,0.0,141.2042105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.66789473684213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.471052631579,219.5236842105263,1624.812105263158,43963.26,8191.61,6
CYUL,LIRF,0,33,7.4535353535353535,B77W,2476.7233333333334,0.0,1203.3793939393938,0.0,274.2869696969697,401.70151515151514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.22636363636366,250.6087878787879,976.7678787878788,0.0,0.0,0.0,47.0369696969697,0.0,11.954545454545455,0.0,0.0,0.0,0.0,42.882727272727266,1230.4612121212122,1959.9769696969697,54369.93,6386.15,2
CYUL,LIRF,1,23,7.397101449275362,A332,2595.8921739130433,0.0,1527.682608695652,0.0,78.70739130434782,85.66652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.1191304347826,189.1191304347826,1234.2852173913045,0.0,4.628695652173913,0.0,4.192608695652174,0.0,2.968260869565217,0.0,0.0,0.0,0.0,800.445652173913,263.1352173913043,1943.8208695652172,53494.55,6176.45,2
CYUL,LPPT,0,16,6.020833333333333,A21N,3246.8493750000002,46.998125,809.598125,0.0,0.0,30.58875,0.0,0.0,626.833125,562.46375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.96999999999997,869.98625,2064.07625,24542.95,11158.7,3
CYUL,LPPT,1,24,5.941666666666666,A21N,3570.2183333333337,0.0,38.19833333333333,0.0,0.0,0.0,0.0,0.0,1867.4433333333334,534.1691666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.4900000000001,204.9175,605.6975,23725.92,9316.27,3
CYUL,LPPT,2,28,5.928571428571429,A21N,3187.717857142857,0.0,343.11,0.0,0.0,0.0,0.0,0.0,1190.2403571428572,551.4271428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.4517857142857,230.48857142857145,1866.8128571428572,19085.03,8284.47,3
CYVR,EDDF,0,20,9.279166666666667,B789,3718.335,1397.248,0.0,0.0,0.0,0.0,544.8610000000001,0.0,0.0,0.0,0.0,0.0,0.0,169.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14,0.0,0.0,49.702999999999996,1484.3325,0.0,122.3335,38.847500000000004,51942.94,2632.19,4
CYVR,EDDF,1,18,9.054629629629629,B744,2940.521111111111,747.4522222222222,1162.3055555555557,0.0,368.73,3.728888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.96055555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.031666666666666,4.697777777777778,0.0,0.0,582.7616666666667,89.17222222222222,0.0,802.6305555555556,953.8016666666667,51728.0,1025.67,4
CYVR,EDDF,2,18,9.116666666666667,B744,2752.0922222222225,1236.6272222222224,235.17222222222225,0.0,279.47166666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.45166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5233333333333334,0.0,0.0,793.985,1127.6094444444445,0.0,17.23166666666667,19.520555555555557,52473.03,934.22,4
